site,titre,url,periode,personnes,date_scan
VTF,"
                                                            Séjour sports nauti",https://www.vtf-vacances.com/sejours/fr_FR/sejours-sports-nautiques,11/07/2026 → 18/07/2026,3A + 1E,2026-05-13 13:56
VTF,"
                                                            Séjour cyclotourism",https://www.vtf-vacances.com/sejours/fr_FR/sejours-cyclotourisme,11/07/2026 → 18/07/2026,3A + 1E,2026-05-13 13:56
VTF,"
                                                            Séjour golf
       ",https://www.vtf-vacances.com/sejours/fr_FR/sejours-golf,11/07/2026 → 18/07/2026,3A + 1E,2026-05-13 13:56
VTF,"
                                                            Séjour multi-neige
",https://www.vtf-vacances.com/sejours/fr_FR/sejours-multi-activites-a-la-neige,11/07/2026 → 18/07/2026,3A + 1E,2026-05-13 13:56
VTF,"
                                                            Séjour raquette à n",https://www.vtf-vacances.com/sejours/fr_FR/sejours-rando-raquettes,11/07/2026 → 18/07/2026,3A + 1E,2026-05-13 13:56
VTF,"
                                                            Séjour ski de fond
",https://www.vtf-vacances.com/sejours/fr_FR/sejours-ski-de-fond,11/07/2026 → 18/07/2026,3A + 1E,2026-05-13 13:56
VTF,"
                                                            Vacances pied des p",https://www.vtf-vacances.com/sejours/fr_FR/sejours-vacances-pied-des-pistes,11/07/2026 → 18/07/2026,3A + 1E,2026-05-13 13:56
VTF,"
                                                            Vacances au ski tou",https://www.vtf-vacances.com/sejours/fr_FR/themes/ski-vacances-au-ski,11/07/2026 → 18/07/2026,3A + 1E,2026-05-13 13:56
VTF,"
                                                            Vacances bord de me",https://www.vtf-vacances.com/sejours/fr_FR/sejours-vacances-bord-de-mer,11/07/2026 → 18/07/2026,3A + 1E,2026-05-13 13:56
VTF,"
                                                            Séjour randonnée
  ",https://www.vtf-vacances.com/sejours/fr_FR/sejours-randonnee,11/07/2026 → 18/07/2026,3A + 1E,2026-05-13 13:56
VTF,"
                                                            Séjours cure & déte",https://www.vtf-vacances.com/sejours/fr_FR/sejours-detente-et-bien-etre,11/07/2026 → 18/07/2026,3A + 1E,2026-05-13 13:56
VTF,"
                                                            Vacances hors saiso",https://www.vtf-vacances.com/sejours/fr_FR/sejours-hors-saison,11/07/2026 → 18/07/2026,3A + 1E,2026-05-13 13:56
VTF,"
                                                            Villages vacances s",https://www.vtf-vacances.com/sejours/fr_FR/themes/ski-vacances-au-ski,11/07/2026 → 18/07/2026,3A + 1E,2026-05-13 13:56
VTF,"
                                                            Villages vacances f",https://www.vtf-vacances.com/sejours/fr_FR/themes/famille,11/07/2026 → 18/07/2026,3A + 1E,2026-05-13 13:56
VTF,"
                                                            Nos séjours à thème",https://www.vtf-vacances.com/sejours/fr_FR/themes,11/07/2026 → 18/07/2026,3A + 1E,2026-05-13 13:56
VTF,"
                                                            Tout sur nos séjour",https://www.vtf-vacances.com/sejours/fr_FR/themes/astronomie-afa,11/07/2026 → 18/07/2026,3A + 1E,2026-05-13 13:56
VTF,"
                                                            Vacances de Noël
  ",https://www.vtf-vacances.com/sejours/fr_FR/vacances-de-noel,11/07/2026 → 18/07/2026,3A + 1E,2026-05-13 13:56
VTF,"
                                                Nos activités vacances
        ",https://www.vtf-vacances.com/sejours/fr_FR/activites,11/07/2026 → 18/07/2026,3A + 1E,2026-05-13 13:56
VTF,"
                                                            Avis village vacanc",https://www.vtf-vacances.com/sejours/fr_FR/avis-village-vacances,11/07/2026 → 18/07/2026,3A + 1E,2026-05-13 13:56
VTF,"
                                                            Vacances avec pisci",https://www.vtf-vacances.com/sejours/fr_FR/vacances-avec-piscine,11/07/2026 → 18/07/2026,3A + 1E,2026-05-13 13:56
VTF,"
                                                            Vacances avec pisci",https://www.vtf-vacances.com/sejours/fr_FR/vacances-avec-piscine-couverte,11/07/2026 → 18/07/2026,3A + 1E,2026-05-13 13:56
VTF,"
                                                            Vacances avec espac",https://www.vtf-vacances.com/sejours/fr_FR/vacances-avec-espace-forme,11/07/2026 → 18/07/2026,3A + 1E,2026-05-13 13:56
VTF,"
                                                            Partir en vacances ",https://www.vtf-vacances.com/sejours/fr_FR/sejours-avec-animal,11/07/2026 → 18/07/2026,3A + 1E,2026-05-13 13:56
VTF,groupes.vtf-vacances.com,https://www.vtf-vacances.com/sejours//groupes.vtf-vacances.com,11/07/2026 → 18/07/2026,3A + 1E,2026-05-13 13:56
VTF,groupes.vtf-vacances.com,https://www.vtf-vacances.com/sejours//groupes.vtf-vacances.com,11/07/2026 → 18/07/2026,3A + 1E,2026-05-13 13:56
VTF,"ETÉ
Séjour en Occitanie

Situé entre les plages de la Méditerranée et l'étang de",https://www.vtf-vacances.com/sejours/fr_FR/summer/village-vacances/herault/agde/le-domaine-d-agde,11/07/2026 → 18/07/2026,3A + 1E,2026-05-13 13:56
VTF,"ETÉ
Séjour cyclotourisme

Les Bonnes Adresses cyclo",https://www.vtf-vacances.com/sejours/fr_FR/sejours-cyclotourisme,11/07/2026 → 18/07/2026,3A + 1E,2026-05-13 13:56
VTF,"
                            
                    
                
            ",https://www.vtf-vacances.com/sejours/fr_FR/summer/village-vacances/herault/agde/le-domaine-d-agde,11/07/2026 → 18/07/2026,3A + 1E,2026-05-13 13:56
VTF,"
                            
                    
                
            ",https://www.vtf-vacances.com/sejours/fr_FR/sejours-cyclotourisme,11/07/2026 → 18/07/2026,3A + 1E,2026-05-13 13:56
VTF,"
                            
                    
                
            ",https://www.vtf-vacances.com/sejours/fr_FR/sejours-multi-activites-a-la-neige,11/07/2026 → 18/07/2026,3A + 1E,2026-05-13 13:56
VTF,"Villages Vacances Familles

Tout est pensé à la fois pour les parents mais aussi",https://www.vtf-vacances.com/sejours/fr_FR/themes/famille,11/07/2026 → 18/07/2026,3A + 1E,2026-05-13 13:56
VTF,Nos séjours à l'étranger,https://www.vtf-vacances.com/sejours/fr_FR/destinations/etranger,11/07/2026 → 18/07/2026,3A + 1E,2026-05-13 13:56
VTF,Les villages vacances VTF,https://www.vtf-vacances.com/sejours/fr_FR/decouvrir-villages-vacances-vtf,11/07/2026 → 18/07/2026,3A + 1E,2026-05-13 13:56
VTF,Préparer mes vacances,https://www.vtf-vacances.com/sejours/fr_FR/partir-en-vacances-avec-vtf/preparer-mes-vacances,11/07/2026 → 18/07/2026,3A + 1E,2026-05-13 13:56
